account,total_trades,avg_trade_size,overall_win_rate,total_pnl,frequency_segment,risk_segment,consistency_segment,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,33569.102223713766,0.35233288809198676,1600229.819979,Infrequent,High_Risk,Others,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,4359.8309302466505,0.39713376753982704,47885.320514,Infrequent,Low_Risk,Others,0
0x271b280974205ca63b716753467d5a371de622ab,3809,11057.118418553686,0.3799521001942577,-70436.191318,Infrequent,High_Risk,Others,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,484.8442941619222,0.4525088144750888,132464.814554,Frequent,Low_Risk,Others,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,2553.7570373757217,0.498708261557744,168658.004994,Infrequent,Low_Risk,Others,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,1613.2556722621034,0.2662149612452762,-31203.599986,Infrequent,Low_Risk,Others,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,28188.549085190585,0.36468216478488236,14456.919336,Infrequent,High_Risk,Others,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,9812.51560528366,0.45689935064935067,53496.247243000005,Infrequent,High_Risk,Others,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,8334.762260556681,0.42995901639344264,199505.592732,Infrequent,High_Risk,Others,0
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,2525.945975144083,0.2026689708141321,416541.872341,Infrequent,Low_Risk,Others,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,516.6442989710463,0.3639104417771443,103343.716161,Infrequent,Low_Risk,Others,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,16024.724760769133,0.426408492962711,677747.050643,Infrequent,High_Risk,Others,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,16038.456425115373,0.30121366471109007,308975.869716,Infrequent,High_Risk,Others,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,27603.84521556422,0.3254950998749796,840422.555216,Frequent,High_Risk,Others,1
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,867.1703611532234,0.3411133250429654,108731.216772,Infrequent,Low_Risk,Others,0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,9367.295108536868,0.20335120373383359,429355.565915,Infrequent,High_Risk,Others,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,4840.92212840505,0.2254729997626682,403011.504159,Infrequent,High_Risk,Others,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,3354.2092903010684,0.7105283610078542,379095.406711,Frequent,Low_Risk,Consistent_Winner,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,6760.1144210194525,0.43590574641442353,14900.443047,Infrequent,High_Risk,Others,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,2782.687344213111,0.32028170644220266,-167621.124781,Infrequent,Low_Risk,Others,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,5475.174210575846,0.1888747291211057,65513.657906,Infrequent,High_Risk,Others,0
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,839.021370213006,0.3051995431656707,43917.008976,Frequent,Low_Risk,Others,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,12481.488695021257,0.20333037461996042,126578.942134,Infrequent,High_Risk,Others,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,1273.0527781456335,0.2739107378656304,106302.875256,Frequent,Low_Risk,Others,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,2007.3297785771122,0.4114921219752971,72846.484272,Infrequent,Low_Risk,Others,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,2959.4760618012087,0.29853655922621436,67845.619531,Infrequent,Low_Risk,Others,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,18919.354152424097,0.31476939651867186,21758.831753,Infrequent,High_Risk,Others,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,4495.49655852293,0.2845184831155218,2143382.597689,Frequent,Low_Risk,Others,1
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,26246.518331080708,0.4325793426390197,22488.500821,Infrequent,High_Risk,Others,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,4528.364242699367,0.45562479214327567,940163.80622,Frequent,Low_Risk,Others,1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,10511.08274482338,0.22402073653037008,220519.06185300002,Infrequent,High_Risk,Others,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,1760.5388452412292,0.41102928202983036,836080.553077,Frequent,Low_Risk,Others,1
